"title","description","price","stock_quantity","status","rating","ai_match_score","category_name","image_url"
"[Simulated] Anker 737 Power Bank (PowerCore 24K)","Ultra-high capacity power bank with 140W fast charging. Features a smart digital display.","12999","60","ACTIVE","4.7","92","Electronics","https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400"
"[Simulated] DJI Osmo Pocket 3","Pocket-sized gimbal camera featuring a powerful 1-inch CMOS sensor. 4K/120fps recording, active track 6.0.","45900","96","ACTIVE","4.7","92","Electronics","https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=400"
"[Simulated] iPad Pro 12.9-inch M2","Astonishing performance. Incredibly advanced displays. Superfast wireless connectivity. Next-generation Apple Pencil features.","90000","47","ACTIVE","4.5","95","Electronics","https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400"
"[Simulated] iPhone 15 Pro Max 512GB","Titanium design, A17 Pro chip, customisable Action button, and the most powerful iPhone camera system ever.","118000","19","ACTIVE","4.5","95","Electronics","https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?w=400"
"[Simulated] Keychron K2 Mechanical Keyboard","A 75% layout wireless mechanical keyboard with hot-swappable options, RGB backlighting, and Gateron switches.","8999","84","ACTIVE","4.7","92","Gaming","https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400"
"[Simulated] Logitech MX Master 3S Mouse","An iconic ergonomic mouse remastered. Quiet clicks, electromagnetic scroll wheel, 8K DPI sensor.","10995","74","ACTIVE","4.7","92","Electronics","https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=400"
"[Simulated] MacBook Pro 16 M3 Max","The most advanced MacBook Pro yet. M3 Max chip, 36GB Unified Memory, 1TB SSD. Liquid Retina XDR display.","195000","43","ACTIVE","4.5","95","Electronics","https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400"
"[Simulated] RTX 4090 Founders Edition","The ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics.","162000","39","ACTIVE","4.5","95","Gaming","https://images.unsplash.com/photo-1591488320449-011701bb6704?w=400"
"[Simulated] Samsung T7 Portable SSD 2TB","Superfast external storage with read speeds up to 1050MB/s. Shock-resistant design.","15999","55","ACTIVE","4.7","92","Electronics","https://images.unsplash.com/photo-1609703409074-8968b8ec66d2?w=400"
"[Simulated] Sony PlayStation 5 Pro","Experience the next level of gaming with the PlayStation 5 Pro. Features advanced ray tracing, 4K gaming, and ultra-high-speed SSD.","52000","12","ACTIVE","4.5","95","Gaming","https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=400"
"[Simulated] Sony WH-1000XM5 ANC Headphones","Industry leading noise-canceling headphones with auto-NC optimizer, crystal clear hands-free calling.","24500","25","ACTIVE","4.5","95","Electronics","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400"
"[Simulated] Xiaomi Smart Projector 2","Portable projector supporting up to 120-inch screen size. Full HD resolution, auto-focus, and Android TV.","39999","51","ACTIVE","4.7","92","Electronics","https://images.unsplash.com/photo-1535016120720-40c646be5580?w=400"
"Aashirvaad Whole Wheat Atta 5kg","[Aashirvaad] High-quality whole wheat flour for soft and nutritious chapatis.","299","69","ACTIVE","0","0","Groceries","/products/groceries/aashirvaad-atta.jpg"
"Accu-Chek Active Glucometer","[Accu-Chek] Reliable blood sugar monitoring device with fast results.","1299","50","ACTIVE","0","0","Health & Medical","/products/health/accuchek-active.jpg"
"Acer Predator Helios Neo 16","[Acer] High-performance gaming laptop designed for competitive gamers.","139999","39","ACTIVE","0","0","Electronics","/products/electronics/acer-predator-neo16.jpg"
"Adidas Essentials Track Pants","[Adidas] Comfortable track pants suitable for training and casual wear.","2499","98","ACTIVE","0","0","Fashion","/products/fashion/adidas-trackpants.jpg"
"Adidas Grand Court Women","[Adidas] Classic lifestyle sneakers inspired by tennis heritage.","5499","75","ACTIVE","0","0","Fashion","/products/fashion/adidas-grand-court-women.jpg"
"Adidas Samba OG","[Adidas] Retro-inspired sneaker with classic design and durable leather upper.","10999","85","ACTIVE","0","0","Fashion","/products/fashion/adidas-samba-og.jpg"
"Adidas Ultraboost 5","[Adidas] Premium running shoes with responsive Boost cushioning and superior comfort.","18999","59","ACTIVE","0","0","Fashion","/products/fashion/adidas-ultraboost-5.jpg"
"Adjustable Dumbbell Set","[Domyos] Versatile weight training set suitable for home workouts and strength building.","5999","48","ACTIVE","0","0","Sports & Fitness","/products/sports/adjustable-dumbbell-set.jpg"
"Adjustable Hand Gripper","[Boldfit] Hand strength trainer with adjustable resistance levels.","299","66","ACTIVE","0","0","Sports & Fitness","/products/sports/hand-gripper.jpg"
"Allen Solly Formal Shirt","[Allen Solly] Elegant formal shirt suitable for office and business occasions.","1499","66","ACTIVE","0","0","Fashion","/products/fashion/allen-solly-formal-shirt.jpg"
"Amazon Echo Dot 5th Gen","[Amazon] Compact smart speaker powered by Alexa voice assistant.","5499","99","ACTIVE","0","0","Electronics","/products/electronics/echo-dot-5.jpg"
"Amazon Kindle Paperwhite","[Amazon] E-reader with glare-free display and weeks of battery life.","14999","75","ACTIVE","0","0","Electronics","/products/electronics/kindle-paperwhite.jpg"
"American Tourister Backpack","[American Tourister] Spacious backpack designed for daily commuting and travel.","1999","91","ACTIVE","0","0","Fashion","/products/fashion/american-tourister-backpack.jpg"
"Amul Butter 500g","[Amul] Creamy and delicious butter suitable for bread, cooking, and baking.","285","44","ACTIVE","0","0","Groceries","/products/groceries/amul-butter.jpg"
"Amul Pure Ghee 1L","[Amul] Rich and aromatic pure cow ghee for cooking and traditional recipes.","699","50","ACTIVE","0","0","Groceries","/products/groceries/amul-ghee.jpg"
"Anker 737 Power Bank","[Anker] High-capacity power bank supporting fast charging technology.","11999","23","ACTIVE","0","0","Electronics","https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400"
"Apollo Pharmacy First Aid Kit","[Apollo] Comprehensive first aid kit containing essential medical supplies.","599","80","ACTIVE","0","0","Health & Medical","/products/health/first-aid-kit.jpg"
"Apple AirPods Pro 2","[Apple] Premium wireless earbuds with adaptive noise cancellation.","24900","45","ACTIVE","0","0","Electronics","/products/electronics/airpods-pro2.jpg"
"Apple iPhone 16 128GB","[Apple] Latest iPhone with improved battery life, powerful processor, and advanced photography features.","79900","67","ACTIVE","0","0","Electronics","/products/electronics/iphone16-128gb.jpg"
